index,label,start_frame,end_frame,boundary_reason,duration_s,confidence,mean_speed_xy_mps,mean_abs_height_rate_mps,mean_height_rate_mps,net_height_change_m,mean_hip_knee_speed_radps,exported,output_file
0,stairs_down,0,30,state_change,0.60000000,1.00000000,1.02075825,0.66385360,-0.66385360,-0.43724334,2.40016227,False,
1,stairs_down,30,49,hard_jump,0.38000000,1.00000000,1.03705718,0.79888164,-0.79888164,-0.37468481,2.44793373,False,
2,stairs_down,49,68,hard_jump,0.38000000,1.00000000,1.05311387,0.95465073,-0.95465073,-0.46221495,2.92706998,False,
3,stairs_down,68,94,hard_jump,0.52000000,1.00000000,0.80041429,0.72218172,-0.72218172,-0.43256915,2.13244966,False,
4,stairs_down,94,124,hard_jump,0.60000000,1.00000000,0.78397431,0.67328763,-0.67328763,-0.44390470,1.92751535,False,
5,stairs_down,124,155,hard_jump,0.62000000,1.00000000,0.86766118,0.49441565,-0.49441565,-0.32534057,2.17768606,False,
6,stairs_down,155,181,hard_jump,0.52000000,1.00000000,0.91398212,0.73665144,-0.73665144,-0.46669841,2.18988399,False,
7,stairs_down,181,209,hard_jump,0.56000000,1.00000000,0.85525947,0.70854851,-0.70854851,-0.48104709,2.19243363,False,
8,stairs_down,209,240,hard_jump,0.62000000,1.00000000,0.88025657,0.59640657,-0.59640657,-0.41526383,1.93131794,False,
9,stairs_down,240,267,hard_jump,0.54000000,1.00000000,0.85524842,0.75404739,-0.75404739,-0.46942228,2.18195915,False,
10,stairs_down,267,296,hard_jump,0.58000000,1.00000000,0.84481649,0.55868481,-0.55868481,-0.37752432,1.98856048,False,
11,stairs_down,296,321,hard_jump,0.50000000,1.00000000,0.82351034,0.66339636,-0.66339636,-0.38935959,2.09727231,False,
12,stairs_down,321,351,hard_jump,0.60000000,1.00000000,0.83391835,0.56313325,-0.56313325,-0.39669573,1.72135623,False,
13,stairs_down,351,375,hard_jump,0.48000000,1.00000000,1.19881150,0.68292200,-0.68292200,-0.41980869,2.33781739,False,
14,stairs_down,375,404,hard_jump,0.58000000,1.00000000,1.22324906,0.57267770,-0.57267770,-0.36684299,2.30842580,False,
15,stairs_down,404,431,hard_jump,0.54000000,1.00000000,1.21655511,0.59966238,-0.59966238,-0.37232590,2.42792361,False,
16,stairs_down,431,470,hard_jump,0.78000000,1.00000000,0.70261707,0.47692631,-0.47692631,-0.39308679,1.90119378,False,
17,stairs_up,470,497,hard_jump,0.54000000,1.00000000,1.02041230,0.64086469,0.64086469,0.44443059,2.30502756,False,
18,stairs_up,497,528,hard_jump,0.62000000,1.00000000,0.95837254,0.44213664,0.44213664,0.30864650,2.18396133,False,
19,stairs_up,528,551,hard_jump,0.46000000,1.00000000,1.38352952,0.68824537,0.68824537,0.41016883,2.65534368,False,
20,stairs_up,551,587,hard_jump,0.72000000,1.00000000,0.81069947,0.48077039,0.48077039,0.39427990,1.81198391,False,
21,stairs_up,587,630,hard_jump,0.86000000,1.00000000,0.66633697,0.45665251,0.45665251,0.45525789,1.80191908,False,
22,stairs_up,630,662,hard_jump,0.64000000,1.00000000,0.85222654,0.55089208,0.55089208,0.41832578,2.09761044,False,
23,stairs_up,662,698,hard_jump,0.72000000,1.00000000,0.82609089,0.54906527,0.54906527,0.44925666,1.94846610,False,
24,stairs_up,698,722,hard_jump,0.48000000,1.00000000,1.33854730,0.65708826,0.65708826,0.40570438,2.49198435,False,
25,stairs_up,722,750,hard_jump,0.56000000,1.00000000,1.24717369,0.72897372,0.72897372,0.51594657,2.40727017,False,
26,stairs_up,750,787,hard_jump,0.74000000,1.00000000,0.83736032,0.48786216,0.48786216,0.42175424,2.02788157,False,
27,stairs_up,787,836,hard_jump,0.98000000,1.00000000,0.71546396,0.42171348,0.42171348,0.46862388,1.54380945,False,
28,stairs_up,836,863,hard_jump,0.54000000,1.00000000,1.35587720,0.65066303,0.65066303,0.42520255,2.60275795,False,
29,stairs_up,863,900,hard_jump,0.74000000,1.00000000,0.87296786,0.40909631,0.40909631,0.35231572,1.86287996,False,
30,stairs_up,900,937,hard_jump,0.74000000,1.00000000,0.76572825,0.53521424,0.53521424,0.45141709,1.91459014,False,
31,stairs_down,937,1012,hard_jump,1.50000000,1.00000000,0.80408578,0.33295426,-0.33295426,-0.55395383,1.90329865,True,stairs_down/stairs_down_0001_f000937-001012_retargetted.npz
32,stairs_down,1012,1133,hard_jump,2.42000000,1.00000000,0.44907594,0.20979642,-0.20979642,-0.58158529,1.08749941,True,stairs_down/stairs_down_0002_f001012-001133_retargetted.npz
33,stairs_down,1133,1237,hard_jump,2.08000000,1.00000000,0.45711720,0.22709234,-0.22709234,-0.55273402,1.19556402,True,stairs_down/stairs_down_0003_f001133-001237_retargetted.npz
34,stairs_down,1237,1353,hard_jump,2.32000000,1.00000000,0.38901883,0.18100985,-0.18100985,-0.48333257,0.98144960,True,stairs_down/stairs_down_0004_f001237-001353_retargetted.npz
